Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date,Time,Payment,Payments_fee,Gross_income,Cost_price,Unit_cost
765-26-6951,A,Yangon,Normal,Male,Sports and travel,76.24,6,457.44,2019-01-01 00:00:00.000000000,2023-11-05 10:39:00.000000000,Credit card,13.72,68.62,388.82,64.8
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,49.97,8,399.76,2019-01-01 00:00:00.000000000,2023-11-05 14:47:00.000000000,Cash,0.0,71.96,327.8,40.98
891-01-7034,B,Mandalay,Normal,Male,Electronic accessories,78.45,6,470.67,2019-01-01 00:00:00.000000000,2023-11-05 19:07:00.000000000,Cash,0.0,70.6,400.07,66.68
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,38.83,10,388.29,2019-01-01 00:00:00.000000000,2023-11-05 19:48:00.000000000,Credit card,11.65,58.24,330.05,33.01
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,66.38,2,132.76,2019-01-01 00:00:00.000000000,2023-11-05 15:51:00.000000000,Cash,0.0,19.91,112.85,56.43
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,66.02,2,132.03,2019-01-01 00:00:00.000000000,2023-11-05 11:43:00.000000000,Cash,0.0,29.05,102.98,51.49
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,69.03,9,621.24,2019-01-01 00:00:00.000000000,2023-11-05 13:55:00.000000000,Cash,0.0,155.31,465.93,51.77
182-52-7000,A,Yangon,Member,Female,Sports and travel,28.39,4,113.57,2019-01-01 00:00:00.000000000,2023-11-05 20:26:00.000000000,Ewallet,1.7,17.04,96.53,24.13
416-17-9926,A,Yangon,Member,Male,Electronic accessories,77.93,10,779.31,2019-01-01 00:00:00.000000000,2023-11-05 14:42:00.000000000,Credit card,23.38,116.9,662.41,66.24
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,30.68,6,184.09,2019-01-01 00:00:00.000000000,2023-11-05 11:40:00.000000000,Ewallet,2.76,27.61,156.48,26.08
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,22.18,8,177.41,2019-01-01 00:00:00.000000000,2023-11-05 19:31:00.000000000,Cash,0.0,21.29,156.12,19.52
746-04-1077,B,Mandalay,Member,Female,Food and beverages,88.86,10,888.62,2019-01-01 00:00:00.000000000,2023-11-05 11:36:00.000000000,Credit card,26.66,106.63,781.99,78.2
651-88-7325,A,Yangon,Normal,Female,Clothes and accessories,33.42,8,267.38,2019-01-01 00:00:00.000000000,2023-11-05 13:57:00.000000000,Cash,4.29,18.72,248.66,31.08
504-35-8843,A,Yangon,Normal,Male,Sports and travel,44.59,1,44.59,2019-01-02 00:00:00.000000000,2023-11-05 16:57:00.000000000,Cash,0.0,6.69,37.9,37.9
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,104.81,2,209.62,2019-01-02 00:00:00.000000000,2023-11-05 18:09:00.000000000,Credit card,6.29,52.41,157.21,78.61
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,35.92,10,359.21,2019-01-02 00:00:00.000000000,2023-11-05 13:00:00.000000000,Cash,0.0,79.03,280.18,28.02
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,42.64,9,383.76,2019-01-02 00:00:00.000000000,2023-11-05 13:40:00.000000000,Cash,0.0,95.94,287.82,31.98
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,23.11,6,138.66,2019-01-02 00:00:00.000000000,2023-11-05 18:50:00.000000000,Cash,0.0,20.8,117.86,19.64
712-39-0363,A,Yangon,Member,Male,Food and beverages,43.74,6,262.46,2019-01-02 00:00:00.000000000,2023-11-05 15:24:00.000000000,Ewallet,3.94,31.5,230.96,38.49
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,33.25,8,266.03,2019-01-02 00:00:00.000000000,2023-11-05 16:19:00.000000000,Credit card,7.98,39.9,226.13,28.27
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,46.86,6,281.17,2019-01-02 00:00:00.000000000,2023-11-05 20:08:00.000000000,Credit card,8.44,42.18,238.99,39.83
446-47-6728,C,Naypyitaw,Normal,Male,Clothes and accessories,73.22,2,146.43,2019-01-02 00:00:00.000000000,2023-11-05 18:20:00.000000000,Credit card,3.16,10.25,136.18,68.09
198-84-7137,B,Mandalay,Member,Male,Clothes and accessories,11.14,9,100.25,2019-01-02 00:00:00.000000000,2023-11-05 13:46:00.000000000,Cash,0.0,7.02,93.23,10.36
249-42-3782,A,Yangon,Normal,Male,Health and beauty,73.51,5,367.55,2019-01-03 00:00:00.000000000,2023-11-05 11:36:00.000000000,Ewallet,5.51,80.86,286.69,57.34
749-24-1565,A,Yangon,Normal,Female,Health and beauty,24.18,9,217.63,2019-01-03 00:00:00.000000000,2023-11-05 12:02:00.000000000,Ewallet,3.26,47.88,169.75,18.86
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,22.18,2,44.35,2019-01-03 00:00:00.000000000,2023-11-05 19:17:00.000000000,Cash,0.0,9.76,34.59,17.3
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,70.44,5,352.22,2019-01-03 00:00:00.000000000,2023-11-05 16:47:00.000000000,Credit card,10.57,63.4,288.82,57.76
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,79.67,1,79.67,2019-01-03 00:00:00.000000000,2023-11-05 10:30:00.000000000,Credit card,2.39,17.53,62.14,62.14
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,98.05,1,98.05,2019-01-03 00:00:00.000000000,2023-11-05 13:07:00.000000000,Cash,0.0,14.71,83.34,83.34
501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,66.31,6,397.85,2019-01-03 00:00:00.000000000,2023-11-05 20:24:00.000000000,Ewallet,5.97,71.61,326.24,54.37
552-44-5977,B,Mandalay,Member,Male,Health and beauty,65.1,8,520.8,2019-01-03 00:00:00.000000000,2023-11-05 19:08:00.000000000,Credit card,15.62,114.58,406.22,50.78
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,75.78,1,75.78,2019-01-04 00:00:00.000000000,2023-11-05 19:40:00.000000000,Cash,0.0,11.37,64.41,64.41
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,69.98,9,629.84,2019-01-04 00:00:00.000000000,2023-11-05 18:19:00.000000000,Credit card,18.9,94.48,535.36,59.48
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,48.74,3,146.22,2019-01-04 00:00:00.000000000,2023-11-05 13:24:00.000000000,Credit card,4.39,21.93,124.29,41.43
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,37.32,10,373.17,2019-01-04 00:00:00.000000000,2023-11-05 13:34:00.000000000,Ewallet,5.6,67.17,306.0,30.6
725-32-9708,B,Mandalay,Member,Female,Fashion accessories,72.15,4,288.58,2019-01-04 00:00:00.000000000,2023-11-05 19:01:00.000000000,Cash,0.0,72.15,216.43,54.11
132-23-6451,A,Yangon,Member,Female,Health and beauty,22.02,5,110.09,2019-01-04 00:00:00.000000000,2023-11-05 13:21:00.000000000,Cash,0.0,24.22,85.87,17.17
725-32-9709,B,Mandalay,Member,Female,Clothes and accessories,42.73,3,128.19,2019-01-04 00:00:00.000000000,2023-11-05 19:01:00.000000000,Cash,3.64,8.97,119.22,39.74
